CAS,CAS.y,Substance,Reference.Conc,Unit,Media,Source,Ref
7439896,7439-89-6,Iron,0.1,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7429905,7429-90-5,Aluminum,17.7,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439954,7439-95-4,Magnesium,6.02,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440224,7440-22-4,Silver,17.7,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440666,7440-66-6,Zinc,2.68,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440508,7440-50-8,Copper,0.88,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440020,7440-02-0,Nickel,1.91,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439965,7439-96-5,Manganese,15.9,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440326,7440-32-6,Titanium,0.9,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440382,7440-38-2,Arsenic,0.63,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440622,7440-62-2,Vanadium,0.46,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440611,7440-61-1,Uranium,0.32,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440473,7440-47-3,Chromium,0.38,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440484,7440-48-4,Cobalt,0.16,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440417,7440-41-7,Beryllium,0.009,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439921,7439-92-1,Lead,0.093,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439976,7439-97-6,Mercury,0.038,ug/L,Stream sediment,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440439,7440-43-9,Cadmium,0.01,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440428,7440-42-8,Boron,15.6,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440280,7440-28-0,Thallium,0.002,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
1333820,1333-82-0,Chromium oxide,0.38,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440393,7440-39-3,Barium,35.4,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440360,7440-36-0,Antimony,0.07,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7782492,7782-49-2,Selenium,0.34,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439932,7439-93-2,Lithium,2.1,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7440315,7440-31-5,Tin,2.25,ug/L,Stream sediment,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
7439987,7439-98-7,Molybdenum,0.22,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
16984488,16984-48-8,Fluoride,0.1,ug/L,Water,FOREGS 10th percentile,"FOREGS, http://weppi.gtk.fi/publ/foregsatlas/"
