"","parent","labels","values","ids"
"1","","All (334)",334,"All"
"2","All","Banned_Listed (139)",139,"Banned_Listed"
"3","All","Current_Use (150)",150,"Current_Use"
"4","All","Metal (27)",27,"Metal"
"5","All","PAH (18)",18,"PAH"
"6","Banned_Listed","Industrial (36)",36,"Banned_Listed-Industrial (36)"
"7","Banned_Listed","Pest (102)",102,"Banned_Listed-Pest (102)"
"8","Banned_Listed","Pharma (1)",1,"Banned_Listed-Pharma (1)"
"9","Current_Use","Industrial (80)",80,"Current_Use-Industrial (80)"
"10","Current_Use","Pest (49)",49,"Current_Use-Pest (49)"
"11","Current_Use","Pharma (21)",21,"Current_Use-Pharma (21)"
"12","Metal","Metal (27)",27,"Metal-Metal (27)"
"13","PAH","PAH (18)",18,"PAH-PAH (18)"
