"","LOQ.type","Exclusion.CAS","Group_AF1_Chronic","N.Sample","N.Site.Mean","Perc.Mean","N.Site.Max","Perc.Max"
"1","LOQ.T0","Excluded_None","I",12356,5245,"42.45%",7076,"57.27%"
"2","LOQ.T0","Excluded_None","II",12356,6272,"50.76%",4709,"38.11%"
"3","LOQ.T0","Excluded_None","IIIA",12356,520,"4.21%",275,"2.23%"
"4","LOQ.T0","Excluded_None","IIIB",12356,319,"2.58%",296,"2.40%"
"5","LOQ.T0","Refined_HQ_Metals_PAH","I",12356,3691,"29.87%",5290,"42.81%"
"6","LOQ.T0","Refined_HQ_Metals_PAH","II",12356,8323,"67.36%",6182,"50.03%"
"7","LOQ.T0","Refined_HQ_Metals_PAH","IIIA",12356,201,"1.63%",281,"2.27%"
"8","LOQ.T0","Refined_HQ_Metals_PAH","IIIB",12356,141,"1.14%",603,"4.88%"
"9","LOQ.T0","Excluded_Metals","I",11689,427,"3.65%",1722,"14.73%"
"10","LOQ.T0","Excluded_Metals","II",11689,10862,"92.92%",8722,"74.62%"
"11","LOQ.T0","Excluded_Metals","IIIA",11689,123,"1.05%",270,"2.31%"
"12","LOQ.T0","Excluded_Metals","IIIB",11689,277,"2.37%",975,"8.34%"
"13","LOQ.T0","Current_Use","I",10786,104,"0.96%",441,"4.09%"
"14","LOQ.T0","Current_Use","II",10786,10553,"97.84%",10001,"92.72%"
"15","LOQ.T0","Current_Use","IIIA",10786,39,"0.36%",91,"0.84%"
"16","LOQ.T0","Current_Use","IIIB",10786,90,"0.83%",253,"2.35%"
"17","LOQ.T1","Excluded_None","I",12356,10856,"87.86%",11340,"91.78%"
"18","LOQ.T1","Excluded_None","II",12356,409,"3.31%",285,"2.31%"
"19","LOQ.T1","Excluded_None","IIIA",12356,62,"0.50%",40,"0.32%"
"20","LOQ.T1","Excluded_None","IIIB",12356,1029,"8.33%",691,"5.59%"
"21","LOQ.T1","Refined_HQ_Metals_PAH","I",12356,9796,"79.28%",10342,"83.70%"
"22","LOQ.T1","Refined_HQ_Metals_PAH","II",12356,735,"5.95%",506,"4.10%"
"23","LOQ.T1","Refined_HQ_Metals_PAH","IIIA",12356,59,"0.48%",52,"0.42%"
"24","LOQ.T1","Refined_HQ_Metals_PAH","IIIB",12356,1766,"14.29%",1456,"11.78%"
"25","LOQ.T1","Excluded_Metals","I",11689,7883,"67.44%",8262,"70.68%"
"26","LOQ.T1","Excluded_Metals","II",11689,1737,"14.86%",1480,"12.66%"
"27","LOQ.T1","Excluded_Metals","IIIA",11689,54,"0.46%",75,"0.64%"
"28","LOQ.T1","Excluded_Metals","IIIB",11689,2015,"17.24%",1872,"16.02%"
"29","LOQ.T1","Current_Use","I",10786,356,"3.30%",681,"6.31%"
"30","LOQ.T1","Current_Use","II",10786,9914,"91.92%",9424,"87.37%"
"31","LOQ.T1","Current_Use","IIIA",10786,57,"0.53%",92,"0.85%"
"32","LOQ.T1","Current_Use","IIIB",10786,459,"4.26%",589,"5.46%"
